collection_date	genotype	Library_Name	inoculum	response	tumors	DNR	TNBS	AOMDSS	DSS
c1a-1306-d00	2012-5-25	C57BL/6	1221	h1	0	14	0	0	0	0
c1a-1306-d73	2012-8-6	C57BL/6	1221	h1	1	14	0	0	1	0
c1a-1390-d00	2012-5-25	C57BL/6	1284	h1	0	3	0	0	0	0
c1a-1390-d73	2012-8-6	C57BL/6	1284	h1	1	3	0	0	1	0
c1a-1399-d00	2012-5-25	C57BL/6	1353	h1	0	5	0	0	0	0
c1a-1399-d73	2012-8-6	C57BL/6	1353	h1	1	5	0	0	1	0
c1a-1400-d00	2012-5-25	C57BL/6	1373	h1	0	3	0	0	0	0
c1a-1400-d73	2012-8-6	C57BL/6	1373	h1	1	3	0	0	1	0
c1a-nt-d00	2012-5-25	C57BL/6	h1a_nt	h1	0	1	0	0	0	0
c1a-nt-d73	2012-8-6	C57BL/6	h1a_nt	h1	1	1	0	0	1	0
c1b-1308-d00	2012-5-25	C57BL/6	1207	h1	0	6	0	0	0	0
c1b-1308-d73	2012-5-25	C57BL/6	1220	h1	0	0	0	0	0	0
c1b-1329-d00	2012-8-6	C57BL/6	1220	h1	1	0	0	0	1	0
c1b-1329-d73	2012-5-25	C57BL/6	1376	h1	0	2	0	0	0	0
c1b-1357-d00	2012-8-6	C57BL/6	1376	h1	1	2	0	0	1	0
c1b-1357-d73	2012-5-25	C57BL/6	1384	h1	0	2	0	0	0	0
c1b-1977-d00	2012-8-6	C57BL/6	1384	h1	1	2	0	0	1	0
c1b-1977-d73	2012-5-25	C57BL/6	h1b_nt	h1	0	6	0	0	0	0
c1b-nt-d00	2012-8-6	C57BL/6	h1b_nt	h1	1	6	0	0	1	0
c1b-nt-d73	2013-3-29	C57BL/6	622	h2	0	10	0	0	0	0
c2-302-d0	2013-6-13	C57BL/6	622	h2	1	10	0	0	1	0
c2-302-d76	2013-3-29	C57BL/6	655	h2	0	23	0	0	0	0
c2-347-d0	2013-6-13	C57BL/6	655	h2	1	23	0	0	1	0
c2-347-d76	2013-3-29	C57BL/6	662	h2	0	29	0	0	0	0
c2-565-d0	2013-6-13	C57BL/6	662	h2	1	29	0	0	1	0
c2-565-d76	2013-3-29	C57BL/6	996	h2	0	7	0	0	0	0
c2-618-d0	2013-6-13	C57BL/6	996	h2	1	7	0	0	1	0
c2-618-d76	2013-3-29	C57BL/6	h2_nt	h2	0	8	0	0	0	0
c3-128-d0	2013-5-20	C57BL/6	h2_nt	h2	1	8	0	0	1	0
c3-128-d76	2013-3-11	C57BL/6	1306	c1	0	3	0	0	0	0
c3-417-d0	2012-8-6	C57BL/6	1306	c1	1	3	0	0	1	0
c3-417-d76	2012-5-25	C57BL/6	1390	c1	0	4	0	0	0	0
c3-560-d0	2012-8-6	C57BL/6	1390	c1	1	4	0	0	1	0
c3-560-d76	2012-5-25	C57BL/6	1399	c1	0	8	0	0	0	0
