BioSample	BioSampleModel	Experiment	Library_Name	MBases	MBytes	Microbiota	Run	SRA_Sample	Sample_Name	Treatment	collection_date	host_genotype	replicate	Assay_Type	AvgSpotLen	BioProject	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	env_biome	env_feature	env_material	geo_loc_name	host	lat_lon
SAMN07732017	MIMS.me	SRX3239579	87L26	8	5	SPF-1	SRR6127255	SRS2562850	Mouse gut 16S rRNA_V4 87L26	none	24-Oct-2016	C57BL/6N	biological replicate 447	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07732018	MIGS/MIMS/MIMARKS.host-associated	SRX3239580	88L26	7	5	SPF-1	SRR6127254	SRS2562851	Mouse gut 16S rRNA_V4 88L26	none	24-Oct-2016	C57BL/6N	biological replicate 448	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07732019	MIMS.me	SRX3239583	89L26	7	4	SPF-1	SRR6127251	SRS2562854	Mouse gut 16S rRNA_V4 89L26	none	24-Oct-2016	C57BL/6N	biological replicate 449	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07732020	MIGS/MIMS/MIMARKS.host-associated	SRX3239584	8L15	12	9	SPF-1	SRR6127250	SRS2562855	Mouse gut 16S rRNA_V4 8L15	none	05-Jun-2016	CD8	biological replicate 450	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731663	MIGS/MIMS/MIMARKS.host-associated	SRX3239595	157L19	8	6	SPF-6	SRR6127239	SRS2562866	Mouse gut 16S rRNA_V4 157L19	none	08-Feb-2016	C57BL/6N	biological replicate 93	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731664	MIGS/MIMS/MIMARKS.host-associated	SRX3239596	158L04	60	45	SPF-3	SRR6127238	SRS2562867	Mouse gut 16S rRNA_V4 158L04	none	06-Apr-2014	C57BL/6N	biological replicate 94	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731579	MIGS/MIMS/MIMARKS.host-associated	SRX3239598	105L19	18	14	SPF-1	SRR6127236	SRS2562869	Mouse gut 16S rRNA_V4 105L19	none	08-Feb-2016	C57BL/6N	biological replicate 9	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731580	MIGS/MIMS/MIMARKS.host-associated	SRX3239599	106L19	17	13	SPF-1	SRR6127235	SRS2562870	Mouse gut 16S rRNA_V4 106L19	none	08-Feb-2016	C57BL/6N	biological replicate 10	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731662	MIGS/MIMS/MIMARKS.host-associated	SRX3239600	157L04	24	18	SPF-3	SRR6127234	SRS2562871	Mouse gut 16S rRNA_V4 157L04	none	06-Apr-2014	C57BL/6N	biological replicate 92	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731571	MIGS/MIMS/MIMARKS.host-associated	SRX3239601	100L19	16	12	SPF-1	SRR6127233	SRS2562872	Mouse gut 16S rRNA_V4 100L19	none	08-Feb-2016	C57BL/6N	biological replicate 1	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731572	MIGS/MIMS/MIMARKS.host-associated	SRX3239602	100L26	5	3	SPF-1	SRR6127232	SRS2562873	Mouse gut 16S rRNA_V4 100L26	none	24-Oct-2016	CD4	biological replicate 2	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731573	MIGS/MIMS/MIMARKS.host-associated	SRX3239603	101L19	12	9	SPF-1	SRR6127231	SRS2562874	Mouse gut 16S rRNA_V4 101L19	none	08-Feb-2016	C57BL/6N	biological replicate 3	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731574	MIGS/MIMS/MIMARKS.host-associated	SRX3239604	101L26	5	3	SPF-1	SRR6127230	SRS2562875	Mouse gut 16S rRNA_V4 101L26	none	24-Oct-2016	CD4	biological replicate 4	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731575	MIGS/MIMS/MIMARKS.host-associated	SRX3239605	102L19	12	9	SPF-1	SRR6127229	SRS2562876	Mouse gut 16S rRNA_V4 102L19	none	08-Feb-2016	C57BL/6N	biological replicate 5	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731576	MIGS/MIMS/MIMARKS.host-associated	SRX3239606	102L26	5	3	SPF-1	SRR6127228	SRS2562877	Mouse gut 16S rRNA_V4 102L26	none	24-Oct-2016	CD4	biological replicate 6	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731577	MIGS/MIMS/MIMARKS.host-associated	SRX3239607	103L19	19	14	SPF-1	SRR6127227	SRS2562878	Mouse gut 16S rRNA_V4 103L19	none	08-Feb-2016	C57BL/6N	biological replicate 7	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731578	MIGS/MIMS/MIMARKS.host-associated	SRX3239608	104L19	16	12	SPF-1	SRR6127226	SRS2562879	Mouse gut 16S rRNA_V4 104L19	none	08-Feb-2016	C57BL/6N	biological replicate 8	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731665	MIGS/MIMS/MIMARKS.host-associated	SRX3239609	158L19	8	6	SPF-6	SRR6127225	SRS2562880	Mouse gut 16S rRNA_V4 158L19	none	08-Feb-2016	C57BL/6N	biological replicate 95	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731666	MIGS/MIMS/MIMARKS.host-associated	SRX3239610	159L04	24	18	SPF-3	SRR6127224	SRS2562881	Mouse gut 16S rRNA_V4 159L04	none	06-Apr-2014	C57BL/6N	biological replicate 96	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731685	MIGS/MIMS/MIMARKS.host-associated	SRX3239611	172L19	13	10	SPF-6	SRR6127223	SRS2562882	Mouse gut 16S rRNA_V4 172L19	none	08-Feb-2016	C57BL/6N	biological replicate 115	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731686	MIGS/MIMS/MIMARKS.host-associated	SRX3239612	173L04	9	7	SPF-1	SRR6127222	SRS2562883	Mouse gut 16S rRNA_V4 173L04	none	06-Apr-2014	C57BL/6N	biological replicate 116	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731687	MIGS/MIMS/MIMARKS.host-associated	SRX3239613	173L19	10	7	SPF-2	SRR6127221	SRS2562884	Mouse gut 16S rRNA_V4 173L19	none	08-Feb-2016	C57BL/6N	biological replicate 117	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
