collection_date	genotype	Library_Name	inoculum	response	DNR	TNBS	AOMDSS	DSS
SRR6127255	24-Oct-2016	C57BL/6N	87L26	SPF-1	0	0	0	0	0
SRR6127254	24-Oct-2016	C57BL/6N	88L26	SPF-1	0	0	0	0	0
SRR6127251	24-Oct-2016	C57BL/6N	89L26	SPF-1	0	0	0	0	0
SRR6127239	08-Feb-2016	C57BL/6N	157L19	SPF-6	0	0	0	0	0
SRR6127238	06-Apr-2014	C57BL/6N	158L04	SPF-3	0	0	0	0	0
SRR6127236	08-Feb-2016	C57BL/6N	105L19	SPF-1	0	0	0	0	0
SRR6127235	08-Feb-2016	C57BL/6N	106L19	SPF-1	0	0	0	0	0
SRR6127234	06-Apr-2014	C57BL/6N	157L04	SPF-3	0	0	0	0	0
SRR6127233	08-Feb-2016	C57BL/6N	100L19	SPF-1	0	0	0	0	0
SRR6127231	08-Feb-2016	C57BL/6N	101L19	SPF-1	0	0	0	0	0
SRR6127229	08-Feb-2016	C57BL/6N	102L19	SPF-1	0	0	0	0	0
SRR6127227	08-Feb-2016	C57BL/6N	103L19	SPF-1	0	0	0	0	0
SRR6127226	08-Feb-2016	C57BL/6N	104L19	SPF-1	0	0	0	0	0
SRR6127225	08-Feb-2016	C57BL/6N	158L19	SPF-6	0	0	0	0	0
SRR6127224	06-Apr-2014	C57BL/6N	159L04	SPF-3	0	0	0	0	0
SRR6127223	08-Feb-2016	C57BL/6N	172L19	SPF-6	0	0	0	0	0
SRR6127222	06-Apr-2014	C57BL/6N	173L04	SPF-1	0	0	0	0	0
SRR6127221	08-Feb-2016	C57BL/6N	173L19	SPF-2	0	0	0	0	0
SRR6127220	06-Apr-2014	C57BL/6N	174L04	SPF-1	0	0	0	0	0
SRR6127216	08-Feb-2016	C57BL/6N	171L19	SPF-6	0	0	0	0	0
SRR6127215	08-Feb-2016	C57BL/6N	174L19	SPF-2	0	0	0	0	0
SRR6127214	06-Apr-2014	C57BL/6N	175L04	SPF-1	0	0	0	0	0
SRR6127213	24-Oct-2016	C57BL/6N	130L26	cSPF-2	0	0	0	0	0
SRR6127212	08-Feb-2016	C57BL/6N	131L19	SPF-2	0	0	0	0	0
SRR6127211	24-Oct-2016	C57BL/6N	124L26	cSPF-2	0	0	0	0	0
SRR6127217	08-Feb-2016	C57BL/6N	170L19	SPF-6	0	0	0	0	0
SRR6127208	24-Oct-2016	C57BL/6N	127L26	cSPF-2	0	0	0	0	0
SRR6127207	08-Feb-2016	C57BL/6N	129L19	SPF-2	0	0	0	0	0
SRR6127205	05-Jun-2016	C57BL/6N	12L15	SPF-1	0	0	0	0	0
SRR6127204	08-Feb-2016	C57BL/6N	130L19	SPF-2	0	0	0	0	0
SRR6127201	10-Oct-2014	C57BL/6N	265L092	SPF-1	0	0	0	0	0
SRR6127199	21-Apr-2014	C57BL/6N	234L08	SPF-2	0	0	0	0	0
SRR6127198	21-Apr-2014	C57BL/6N	233L08	SPF-2	0	0	0	0	0
SRR6127196	10-Oct-2014	C57BL/6N	268L092	SPF-1	0	0	0	0	0
SRR6127195	10-Oct-2014	C57BL/6N	267L092	SPF-1	0	0	0	0	0
SRR6127194	10-Oct-2014	C57BL/6N	266L092	SPF-1	0	0	0	0	0
SRR6127193	08-Feb-2016	C57BL/6N	139L19	SPF-2	0	0	0	0	0
SRR6127191	08-Feb-2016	C57BL/6N	137L19	SPF-2	0	0	0	0	0
SRR6127190	08-Feb-2016	C57BL/6N	136L19	SPF-2	0	0	0	0	0
SRR6127189	08-Feb-2016	C57BL/6N	138L19	SPF-2	0	0	0	0	0
SRR6127187	08-Feb-2016	C57BL/6N	133L19	SPF-2	0	0	0	0	0
SRR6127186	24-Oct-2016	C57BL/6N	131L26	cSPF-2	0	0	0	0	0
SRR6127185	08-Feb-2016	C57BL/6N	135L19	SPF-2	0	0	0	0	0
SRR6127184	08-Feb-2016	C57BL/6N	134L19	SPF-2	0	0	0	0	0
SRR6127183	05-Jun-2016	C57BL/6N	31L15	SPF-1	0	0	0	0	0
SRR6127181	21-Apr-2014	C57BL/6N	318L08	SPF-1	0	0	0	0	0
SRR6127177	21-Apr-2014	C57BL/6N	316L08	SPF-1	0	0	0	0	0
SRR6127175	21-Apr-2014	C57BL/6N	317L08	SPF-1	0	0	0	0	0
SRR6127171	03-Jul-2014	C57BL/6N	383L06	SPF-1	0	0	0	0	0
SRR6127170	03-Jul-2014	C57BL/6N	382L06	SPF-1	0	0	0	0	0
SRR6127169	03-Jul-2014	C57BL/6N	381L06	SPF-1	0	0	0	0	0
SRR6127167	03-Jul-2014	C57BL/6N	380L06	SPF-1	0	0	0	0	0
SRR6127163	24-Oct-2016	C57BL/6N	64L26	SPF-2	0	0	0	0	0
SRR6127162	24-Oct-2016	C57BL/6N	63L26	SPF-2	0	0	0	0	0
SRR6127161	24-Oct-2016	C57BL/6N	60L26	SPF-2	0	0	0	0	0
SRR6127160	24-Oct-2016	C57BL/6N	5L26	SPF-1	0	0	0	0	0
SRR6127159	24-Oct-2016	C57BL/6N	62L26	SPF-2	0	0	0	0	0
SRR6127158	24-Oct-2016	C57BL/6N	61L26	SPF-2	0	0	0	0	0
SRR6127157	24-Oct-2016	C57BL/6N	553L26	cSPF-2	1	0	0	0	1
SRR6127156	24-Oct-2016	C57BL/6N	552L26	cSPF-2	1	0	0	0	1
SRR6127154	24-Oct-2016	C57BL/6N	57L26	SPF-2	0	0	0	0	0
SRR6127152	24-Oct-2016	C57BL/6N	45L26	SPF-1	0	0	0	0	0
SRR6127150	24-Oct-2016	C57BL/6N	3L26	SPF-1	0	0	0	0	0
SRR6127141	24-Oct-2016	C57BL/6N	18L26	cSPF-2	0	0	0	0	0
SRR6127140	08-Feb-2016	C57BL/6N	188L19	SPF-2	0	0	0	0	0
SRR6127139	08-Feb-2016	C57BL/6N	187L19	SPF-2	0	0	0	0	0
SRR6127138	08-Feb-2016	C57BL/6N	186L19	SPF-2	0	0	0	0	0
SRR6127137	08-Feb-2016	C57BL/6N	112L19	SPF-5	0	0	0	0	0
SRR6127136	08-Feb-2016	C57BL/6N	113L19	SPF-5	0	0	0	0	0
SRR6127135	24-Oct-2016	C57BL/6N	114L26	cSPF-2	0	0	0	0	0
SRR6127133	03-Jul-2014	C57BL/6N	341L06	SPF-1	0	0	0	0	0
SRR6127124	03-Jul-2014	C57BL/6N	360L06	SPF-1	0	0	0	0	0
SRR6127119	03-Jul-2014	C57BL/6N	362L06	SPF-1	0	0	0	0	0
SRR6127118	24-Oct-2016	C57BL/6N	90L26	SPF-1	0	0	0	0	0
SRR6127116	24-Oct-2016	C57BL/6N	92L26	SPF-1	0	0	0	0	0
SRR6127115	24-Oct-2016	C57BL/6N	91L26	SPF-1	0	0	0	0	0
SRR6127114	24-Oct-2016	C57BL/6N	94L26	SPF-1	0	0	0	0	0
SRR6127113	24-Oct-2016	C57BL/6N	93L26	SPF-1	0	0	0	0	0
SRR6127112	24-Oct-2016	C57BL/6N	96L26	SPF-1	0	0	0	0	0
SRR6127111	24-Oct-2016	C57BL/6N	95L26	SPF-1	0	0	0	0	0
SRR6127098	03-Jul-2014	C57BL/6N	379L06	SPF-1	0	0	0	0	0
SRR6127096	03-Jul-2014	C57BL/6N	378L06	SPF-1	0	0	0	0	0
SRR6127094	03-Jul-2014	C57BL/6N	377L06	SPF-1	0	0	0	0	0
SRR6127091	06-Apr-2014	C57BL/6N	165L04	SPF-4	0	0	0	0	0
SRR6127090	06-Apr-2014	C57BL/6N	164L04	SPF-4	0	0	0	0	0
SRR6127089	06-Apr-2014	C57BL/6N	163L04	SPF-4	0	0	0	0	0
SRR6127088	06-Apr-2014	C57BL/6N	162L04	SPF-4	0	0	0	0	0
SRR6127087	06-Apr-2014	C57BL/6N	167L04	SPF-4	0	0	0	0	0
SRR6127085	06-Apr-2014	C57BL/6N	166L04	SPF-4	0	0	0	0	0
SRR6127083	06-Apr-2014	C57BL/6N	168L04	SPF-4	0	0	0	0	0
SRR6127080	21-Apr-2014	C57BL/6N	230L08	SPF-2	0	0	0	0	0
SRR6127078	21-Apr-2014	C57BL/6N	229L08	SPF-2	0	0	0	0	0
SRR6127079	21-Apr-2014	C57BL/6N	228L08	SPF-2	0	0	0	0	0
SRR6127077	21-Apr-2014	C57BL/6N	226L08	SPF-2	0	0	0	0	0
SRR6127076	21-Apr-2014	C57BL/6N	227L08	SPF-2	0	0	0	0	0
SRR6127075	21-Apr-2014	C57BL/6N	224L08	SPF-4	0	0	0	0	0
SRR6127074	21-Apr-2014	C57BL/6N	225L08	SPF-2	0	0	0	0	0
SRR6127073	21-Apr-2014	C57BL/6N	231L08	SPF-2	0	0	0	0	0
SRR6127072	21-Apr-2014	C57BL/6N	232L08	SPF-2	0	0	0	0	0
SRR6127071	08-Feb-2016	C57BL/6N	143L19	SPF-1	0	0	0	0	0
SRR6127070	06-Apr-2014	C57BL/6N	144L04	SPF-2	0	0	0	0	0
SRR6127069	08-Feb-2016	C57BL/6N	142L19	SPF-1	0	0	0	0	0
SRR6127068	06-Apr-2014	C57BL/6N	143L04	SPF-2	0	0	0	0	0
SRR6127066	08-Feb-2016	C57BL/6N	141L19	SPF-1	0	0	0	0	0
SRR6127064	08-Feb-2016	C57BL/6N	140L19	SPF-2	0	0	0	0	0
SRR6127062	05-Jun-2016	C57BL/6N	13L15	SPF-1	0	0	0	0	0
SRR6127050	13-Apr-2015	C57BL/6N	356L13	SPF-1	0	0	0	0	0
SRR6127047	03-Jul-2014	C57BL/6N	358L06	SPF-1	0	0	0	0	0
SRR6127046	13-Apr-2015	C57BL/6N	358L13	SPF-1	0	0	0	0	0
SRR6127044	13-Apr-2015	C57BL/6N	357L13	SPF-1	0	0	0	0	0
SRR6127043	03-Jul-2014	C57BL/6N	359L06	SPF-1	0	0	0	0	0
SRR6127042	05-Jun-2016	C57BL/6N	35L15	SPF-1	0	0	0	0	0
