Animal	BioSample	Diet	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	Assay_Type	AvgSpotLen	BioProject	BioSampleModel	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	Timing	collection_date	geo_loc_name	host	lat_lon
DSS3 Control 2nd sample 1	SAMN07713823	Harlan	SRX3234508	DSS3.Control.2nd.sample.1	6	3	SRR6121940	SRS2558612	DSS3.Control.2nd.sample.1	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS3 Control 2nd sample 2	SAMN07713824	Harlan	SRX3234509	DSS3.Control.2nd.sample.2	12	6	SRR6121939	SRS2558613	DSS3.Control.2nd.sample.2	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS3 Control 2nd sample 3	SAMN07713825	Harlan	SRX3234510	DSS3.Control.2nd.sample.3	7	3	SRR6121938	SRS2558614	DSS3.Control.2nd.sample.3	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS3 Control 4th sample 1	SAMN07713827	Harlan	SRX3234512	DSS3.Control.4th.sample.1	5	2	SRR6121936	SRS2558615	DSS3.Control.4th.sample.1	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS3 Control 2nd sample 4	SAMN07713826	Harlan	SRX3234511	DSS3.Control.2nd.sample.4	6	3	SRR6121937	SRS2558616	DSS3.Control.2nd.sample.4	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS3 Control 4th sample 2	SAMN07713828	Harlan	SRX3234513	DSS3.Control.4th.sample.2	7	3	SRR6121935	SRS2558617	DSS3.Control.4th.sample.2	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS3 Control 4th sample 4	SAMN07713830	Harlan	SRX3234515	DSS3.Control.4th.sample.4	5	3	SRR6121933	SRS2558618	DSS3.Control.4th.sample.4	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS3 Control 4th sample 3	SAMN07713829	Harlan	SRX3234514	DSS3.Control.4th.sample.3	4	2	SRR6121934	SRS2558619	DSS3.Control.4th.sample.3	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS3 Control 4th sample 5	SAMN07713831	Harlan	SRX3234516	DSS3.Control.4th.sample.5	6	3	SRR6121932	SRS2558620	DSS3.Control.4th.sample.5	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS3 Cellulose 2nd sample 1	SAMN07713832	High Cellulose	SRX3234517	DSS3.Cellulose.2nd.sample.1	6	3	SRR6121931	SRS2558621	DSS3.Cellulose.2nd.sample.1	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
