BioSample	Experiment	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	collection_date	env_biome	env_feature	lat_lon	Assay_Type	AvgSpotLen	BioProject	BioSampleModel	Center_Name	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	env_material	geo_loc_name	host
SAMN05511651	SRX2000484	2016-08-05	9	5	SRR4000172	SRS1601120	BA-64	2014-10-21	mice gut	AOM/DSS colon cancer induction	29.35 N 106.33 E	AMPLICON	602	PRJNA335980	MIMS.me	THIRD MILITARY MEDICAL UNIVERSITY	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	2017-02-04	SRP080933	feces	China	Mus musculus
SAMN05513569	SRX2003814	2016-08-06	10	5	SRR4003589	SRS1603430	BA-611	2014-10-21	mice gut	AOM/DSS colon cancer induction	29.35 N 106.33 E	AMPLICON	602	PRJNA335980	MIMS.me	THIRD MILITARY MEDICAL UNIVERSITY	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	2017-02-04	SRP080933	feces	China	Mus musculus
SAMN05513569	SRX2003814	2016-08-05	10	5	SRR4003590	SRS1603430	BA-611	2014-10-21	mice gut	AOM/DSS colon cancer induction	29.35 N 106.33 E	AMPLICON	602	PRJNA335980	MIMS.me	THIRD MILITARY MEDICAL UNIVERSITY	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	2017-02-04	SRP080933	feces	China	Mus musculus
SAMN05513570	SRX2003815	2016-08-05	13	7	SRR4003591	SRS1603431	BA-621	2014-10-21	mice gut	AOM/DSS colon cancer induction	29.35 N 106.33 E	AMPLICON	602	PRJNA335980	MIMS.me	THIRD MILITARY MEDICAL UNIVERSITY	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	2017-02-04	SRP080933	feces	China	Mus musculus
SAMN05513571	SRX2004533	2016-08-05	10	5	SRR4004428	SRS1604049	BA-631	2014-10-21	mice gut	AOM/DSS colon cancer induction	29.35 N 106.33 E	AMPLICON	602	PRJNA335980	MIMS.me	THIRD MILITARY MEDICAL UNIVERSITY	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	2017-02-04	SRP080933	feces	China	Mus musculus
SAMN05511652	SRX2004759	2016-08-05	15	7	SRR4004672	SRS1604191	BA-626	2014-10-21	mice gut	AOM/DSS colon cancer induction	29.35 N 106.33 E	AMPLICON	602	PRJNA335980	MIMS.me	THIRD MILITARY MEDICAL UNIVERSITY	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	2017-02-04	SRP080933	feces	China	Mus musculus
SAMN05511653	SRX2004992	2016-08-05	12	6	SRR4004892	SRS1604210	CA-71	2014-10-21	mice gut	AOM/DSS colon cancer induction	29.35 N 106.33 E	AMPLICON	602	PRJNA335980	MIMS.me	THIRD MILITARY MEDICAL UNIVERSITY	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	2017-02-04	SRP080933	feces	China	Mus musculus
SAMN05513453	SRX2005029	2016-08-05	12	6	SRR4004921	SRS1604214	CA-73	2014-10-21	mice gut	AOM/DSS colon cancer induction	29.35 N 106.33 E	AMPLICON	602	PRJNA335980	MIMS.me	THIRD MILITARY MEDICAL UNIVERSITY	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	2017-02-04	SRP080933	feces	China	Mus musculus
SAMN05513454	SRX2005051	2016-08-05	11	6	SRR4004949	SRS1604216	CA-74	2014-10-21	mice gut	AOM/DSS colon cancer induction	29.35 N 106.33 E	AMPLICON	602	PRJNA335980	MIMS.me	THIRD MILITARY MEDICAL UNIVERSITY	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	2017-02-04	SRP080933	feces	China	Mus musculus
SAMN05513455	SRX2005078	2016-08-05	11	5	SRR4004993	SRS1604218	CA-76	2014-10-21	mice gut	AOM/DSS colon cancer induction	29.35 N 106.33 E	AMPLICON	602	PRJNA335980	MIMS.me	THIRD MILITARY MEDICAL UNIVERSITY	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	2017-02-04	SRP080933	feces	China	Mus musculus
