ENA_LAST_UPDATE	Experiment	Library_Name	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	cage	collection_timestamp	gender	genotype	host_subject_id	life_stage	mouse	run_prefix	sex	timepoint	treatment	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	ENA_FIRST_PUBLIC	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package
10/28/17	ERX2239382	11113.1018	11/8/17	4	2	ERR2183215	ERS1986003	qiita_sid_11113:11113.1018	COF6	11/3/13	Female	IL10	N57	juvenile	pup	run1	female	week_21	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239383	11113.1019	11/8/17	3	1	ERR2183216	ERS1986004	qiita_sid_11113:11113.1019	COF6	11/3/13	Female	IL10	N60	juvenile	pup	run1	female	week_21	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239384	11113.102	11/8/17	2	1	ERR2183217	ERS1986005	qiita_sid_11113:11113.1020	COM1	7/23/13	Male	IL10	N01	juvenile	pup	run1	male	week_6_ileal	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239385	11113.1022	11/8/17	3	2	ERR2183218	ERS1986006	qiita_sid_11113:11113.1022	COM1	7/23/13	Male	IL10	N03	juvenile	pup	run1	male	week_6_ileal	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239386	11113.1024	11/8/17	3	2	ERR2183219	ERS1986007	qiita_sid_11113:11113.1024	COM2	7/23/13	Male	IL10	N06	juvenile	pup	run1	male	week_6_ileal	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239387	11113.1025	11/8/17	3	2	ERR2183220	ERS1986008	qiita_sid_11113:11113.1025	COM4	10/3/13	Male	IL10	N10	juvenile	pup	run1	male	week_15	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239388	11113.1027	11/8/17	3	2	ERR2183221	ERS1986009	qiita_sid_11113:11113.1027	COF1	9/25/13	Female	IL10	N38	juvenile	pup	run1	female	week_15	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239389	11113.1028	11/8/17	4	2	ERR2183222	ERS1986010	qiita_sid_11113:11113.1028	COF1	9/25/13	Female	IL10	N39	juvenile	pup	run1	female	week_15	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239390	11113.1029	11/8/17	4	2	ERR2183223	ERS1986011	qiita_sid_11113:11113.1029	COF1	9/25/13	Female	IL10	N40	juvenile	pup	run1	female	week_15	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239391	11113.103	11/8/17	5	2	ERR2183224	ERS1986012	qiita_sid_11113:11113.1030	COF1	9/25/13	Female	IL10	N41	juvenile	pup	run1	female	week_15	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
