collection_date	cage	gender	response	run	timepoint	DNR	TNBS	AOMDSS	DSS	IL10
ERR2183215	11/3/13	COF6	Female	1	run1	week_21	0	0	0	0	1
ERR2183216	11/3/13	COF6	Female	1	run1	week_21	0	0	0	0	1
ERR2183217	7/23/13	COM1	Male	1	run1	week_6_ileal	0	0	0	0	1
ERR2183218	7/23/13	COM1	Male	1	run1	week_6_ileal	0	0	0	0	1
ERR2183219	7/23/13	COM2	Male	1	run1	week_6_ileal	0	0	0	0	1
ERR2183220	10/3/13	COM4	Male	1	run1	week_15	0	0	0	0	1
ERR2183221	9/25/13	COF1	Female	1	run1	week_15	0	0	0	0	1
ERR2183222	9/25/13	COF1	Female	1	run1	week_15	0	0	0	0	1
ERR2183223	9/25/13	COF1	Female	1	run1	week_15	0	0	0	0	1
ERR2183224	9/25/13	COF1	Female	1	run1	week_15	0	0	0	0	1
ERR2183225	9/25/13	COF1	Female	1	run1	week_15	0	0	0	0	1
ERR2183226	9/25/13	COF2	Female	1	run1	week_15	0	0	0	0	1
ERR2183227	9/25/13	COF2	Female	1	run1	week_15	0	0	0	0	1
ERR2183228	9/25/13	COF2	Female	1	run1	week_15	0	0	0	0	1
ERR2183234	11/7/13	COM2	Male	1	run1	week_21	0	0	0	0	1
ERR2183235	11/7/13	COM2	Male	1	run1	week_21	0	0	0	0	1
ERR2183236	11/7/13	COM2	Male	1	run1	week_21	0	0	0	0	1
ERR2183237	11/7/13	COM4	Male	1	run1	week_21	0	0	0	0	1
ERR2183238	11/7/13	COM4	Male	1	run1	week_21	0	0	0	0	1
ERR2183247	6/8/13	TBI02	Female	1	run1	gavage_D1	0	0	0	0	1
ERR2183249	6/8/13	TBI04	Female	1	run1	gavage_D1	0	0	0	0	1
ERR2183251	6/8/13	TBI06	Female	1	run1	gavage_D1	0	0	0	0	1
ERR2183252	6/8/13	TBI07	Female	1	run1	gavage_D1	0	0	0	0	1
ERR2183255	2/10/14	TBC03	Female	0	run1	gavage_D5	0	0	0	0	0
ERR2183257	2/10/14	TBC05	Female	0	run1	gavage_D5	0	0	0	0	0
ERR2183259	2/10/14	TBC07	Female	0	run1	gavage_D5	0	0	0	0	0
ERR2183261	2/10/14	TBC09	Female	0	run1	gavage_D5	0	0	0	0	0
ERR2183263	2/10/14	TBC11	Female	0	run1	gavage_D5	0	0	0	0	0
ERR2183265	2/10/14	TBC13	Female	0	run1	gavage_D5	0	0	0	0	0
ERR2183266	3/4/14	TBC01	Female	0	run1	pupday21	0	0	0	0	0
ERR2183268	3/4/14	TBC03	Female	0	run1	pupday21	0	0	0	0	0
ERR2183270	3/5/14	TBC05	Female	0	run1	pupday21	0	0	0	0	0
ERR2183273	3/5/14	TBC07	Female	0	run1	pupday21	0	0	0	0	0
ERR2183275	3/5/14	TBC09	Female	0	run1	pupday21	0	0	0	0	0
