AvgSpotLen	BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	anonymized_name	collection_timestamp	env_material	host_subject_id	physical_specimen_remaining	sample_type	Assay_Type	BioProject	Center_Name	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	dna_extracted	elevation	env_biome	env_feature	env_package	geo_loc_name	host_common_name	host_scientific_name	host_taxid	latitude	longitude	physical_specimen_location	title
237	SAMEA103939092	ERX1958238	10902.A1.C	12	7	ERR1897848	ERS1628260	qiita_sid_10902:10902.A1.C	A1.C	2015-10-09 13:00	organic material	A1.C	TRUE	cecal content	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939093	ERX1958239	10902.A1.F	8	5	ERR1897849	ERS1628261	qiita_sid_10902:10902.A1.F	A1.F	2015-10-07 10:00	feces	A1.F	FALSE	stool	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939094	ERX1958240	10902.A2.C	8	5	ERR1897850	ERS1628262	qiita_sid_10902:10902.A2.C	A2.C	2015-10-09 13:00	organic material	A2.C	TRUE	cecal content	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939095	ERX1958241	10902.A2.F	4	2	ERR1897851	ERS1628263	qiita_sid_10902:10902.A2.F	A2.F	2015-10-07 10:00	feces	A2.F	FALSE	stool	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939096	ERX1958242	10902.A3.C	11	7	ERR1897852	ERS1628264	qiita_sid_10902:10902.A3.C	A3.C	2015-10-09 13:00	organic material	A3.C	TRUE	cecal content	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939097	ERX1958243	10902.A3.F	8	5	ERR1897853	ERS1628265	qiita_sid_10902:10902.A3.F	A3.F	2015-10-07 10:00	feces	A3.F	FALSE	stool	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939098	ERX1958244	10902.A4.C	11	7	ERR1897854	ERS1628266	qiita_sid_10902:10902.A4.C	A4.C	2015-10-09 13:00	organic material	A4.C	TRUE	cecal content	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939099	ERX1958245	10902.A4.F	7	4	ERR1897855	ERS1628267	qiita_sid_10902:10902.A4.F	A4.F	2015-10-07 10:00	feces	A4.F	FALSE	stool	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939100	ERX1958246	10902.A5.C	10	6	ERR1897856	ERS1628268	qiita_sid_10902:10902.A5.C	A5.C	2015-10-09 13:00	organic material	A5.C	TRUE	cecal content	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939101	ERX1958247	10902.A5.F	6	3	ERR1897857	ERS1628269	qiita_sid_10902:10902.A5.F	A5.F	2015-10-07 10:00	feces	A5.F	FALSE	stool	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
