sample	genotype	cohort
10_13	DNR	Current
102_13	DNR	Pilot
12_13	WT	Current
14_13	WT	Current
19_13	WT	Current
21_13	WT	Current
23_13	DNR	Current
24_13	DNR	Current
26_13	DNR	Current
28_13	WT	Current
29_13	WT	Current
32_13	DNR	Current
34_13	WT	Current
36_13	WT	Current
38_13	DNR	Current
40_13	DNR	Current
42_13	DNR	Current
43_13	DNR	Current
45_13	WT	Current
47_13	WT	Current
48_13	DNR	Current
5_13	WT	Current
6_13	WT	Current
61_13	DNR	Pilot
73_13	DNR	Pilot
75_13	WT	Pilot
83_13	DNR	Pilot
84_13	WT	Pilot
9_13	WT	Current
90_13	WT	Pilot
92_13	DNR	Pilot
96_13	WT	Pilot
10_27	DNR	Current
12_27	WT	Current
14_27	WT	Current
19_27	WT	Current
21_27	WT	Current
23_27	DNR	Current
24_27	DNR	Current
26_27	DNR	Current
28_27	WT	Current
29_27	WT	Current
32_27	DNR	Current
34_27	WT	Current
36_27	WT	Current
38_27	DNR	Current
40_27 	DNR	Current
42_27	DNR	Current
43_27	DNR	Current
45_27	WT	Current
47_27	WT	Current
48_27	DNR	Current
5_27	WT	Current
6_27	WT	Current
9_27	WT	Current
10_5	DNR	Current
102_5	DNR	Pilot
12_5	WT	Current
14_5	WT	Current
19_5	WT	Current
21_5	WT	Current
23_5	DNR	Current
24_5	DNR	Current
26_5	DNR	Current
28_5	WT	Current
29_5	WT	Current
32_5	DNR	Current
34_5	WT	Current
36_5 	WT	Current
38_5	DNR	Current
40_5	DNR	Current
42_5	DNR	Current
43_5	DNR	Current
45_5	WT	Current
47_5	WT	Current
48_5	DNR	Current
5_5	WT	Current
6_5	WT	Current
61_5	DNR	Pilot
73_5	DNR	Pilot
75_5	WT	Pilot
83_5	DNR	Pilot
84_5	WT	Pilot
9_5	WT	Current
90_5	WT	Pilot
92_5	DNR	Pilot
96_5	WT	Pilot
