AvgSpotLen	BioSample	Experiment	Library_Name	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	Sample_Name	biome	chem_administration	collection_date	exp_day	feature	genotype	host	lat_lon	material	mouse_id	organism	samp_mat_process	samp_store_temp	sex	title	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Platform	SRA_Study	diet	geo_loc_name	isol_growth_condt	seq_methods	strain
501	SAMN03406743	SRX955891	DSSonly-m7469-d26_S358_L001_R1_001.fastq.DSSonly_m7469_d26	3	2	mouse gut metagenome	2015-03-13	SRR1914514	SRS873660	DSSonly_m7469_d26	mouse gut	NoAbx	2013	26	feces	C57BL/6	Mus musculus	42.2820973 N 83.7338904 W	feces	DSSonly_m7469	mouse gut metagenome	http://www.mobio.com/images/custom/file/protocol/12955.pdf	-80 C	male	Animal DSSonly_m7469 that received no antibiotics on day 26 of the model when they only received DSS (no AOM)	AMPLICON	PRJNA278126	MIMARKS.specimen	UNIVERSITY OF MICHIGAN	public	0	454 GS	PAIRED	PCR	METAGENOMIC	2015-03-13	LS454	SRP056144	LabDiet 5001	USA: Michigan: Ann Arbor	missing	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	missing
501	SAMN03406736	SRX955916	DSSonly-m7481-d47_S380_L001_R1_001.fastq.DSSonly_m7481_d47	8	5	mouse gut metagenome	2015-03-13	SRR1914538	SRS873666	DSSonly_m7481_d47	mouse gut	NoAbx	2013	47	feces	C57BL/6	Mus musculus	42.2820973 N 83.7338904 W	feces	DSSonly_m7481	mouse gut metagenome	http://www.mobio.com/images/custom/file/protocol/12955.pdf	-80 C	male	Animal DSSonly_m7481 that received no antibiotics on day 47 of the model when they only received DSS (no AOM)	AMPLICON	PRJNA278126	MIMARKS.specimen	UNIVERSITY OF MICHIGAN	public	0	454 GS	PAIRED	PCR	METAGENOMIC	2015-03-13	LS454	SRP056144	LabDiet 5001	USA: Michigan: Ann Arbor	missing	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	missing
501	SAMN03406771	SRX955918	DSSonly-m7481-d5_S377_L001_R1_001.fastq.DSSonly_m7481_d5	7	4	mouse gut metagenome	2015-03-13	SRR1914540	SRS873667	DSSonly_m7481_d5	mouse gut	NoAbx	2013	5	feces	C57BL/6	Mus musculus	42.2820973 N 83.7338904 W	feces	DSSonly_m7481	mouse gut metagenome	http://www.mobio.com/images/custom/file/protocol/12955.pdf	-80 C	male	Animal DSSonly_m7481 that received no antibiotics on day 5 of the model when they only received DSS (no AOM)	AMPLICON	PRJNA278126	MIMARKS.specimen	UNIVERSITY OF MICHIGAN	public	0	454 GS	PAIRED	PCR	METAGENOMIC	2015-03-13	LS454	SRP056144	LabDiet 5001	USA: Michigan: Ann Arbor	missing	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	missing
501	SAMN03406737	SRX955919	DSSonly-m7481-d66_S381_L001_R1_001.fastq.DSSonly_m7481_d66	5	3	mouse gut metagenome	2015-03-13	SRR1914541	SRS873668	DSSonly_m7481_d66	mouse gut	NoAbx	2013	66	feces	C57BL/6	Mus musculus	42.2820973 N 83.7338904 W	feces	DSSonly_m7481	mouse gut metagenome	http://www.mobio.com/images/custom/file/protocol/12955.pdf	-80 C	male	Animal DSSonly_m7481 that received no antibiotics on day 66 of the model when they only received DSS (no AOM)	AMPLICON	PRJNA278126	MIMARKS.specimen	UNIVERSITY OF MICHIGAN	public	0	454 GS	PAIRED	PCR	METAGENOMIC	2015-03-13	LS454	SRP056144	LabDiet 5001	USA: Michigan: Ann Arbor	missing	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	missing
501	SAMN03406748	SRX955917	DSSonly-m7481-d4_S376_L001_R1_001.fastq.DSSonly_m7481_d4	8	5	mouse gut metagenome	2015-03-13	SRR1914539	SRS873669	DSSonly_m7481_d4	mouse gut	NoAbx	2013	4	feces	C57BL/6	Mus musculus	42.2820973 N 83.7338904 W	feces	DSSonly_m7481	mouse gut metagenome	http://www.mobio.com/images/custom/file/protocol/12955.pdf	-80 C	male	Animal DSSonly_m7481 that received no antibiotics on day 4 of the model when they only received DSS (no AOM)	AMPLICON	PRJNA278126	MIMARKS.specimen	UNIVERSITY OF MICHIGAN	public	0	454 GS	PAIRED	PCR	METAGENOMIC	2015-03-13	LS454	SRP056144	LabDiet 5001	USA: Michigan: Ann Arbor	missing	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	missing
501	SAMN03406783	SRX955908	DSSonly-m7477-d47_S373_L001_R1_001.fastq.DSSonly_m7477_d47	5	3	mouse gut metagenome	2015-03-13	SRR1914531	SRS873670	DSSonly_m7477_d47	mouse gut	NoAbx	2013	47	feces	C57BL/6	Mus musculus	42.2820973 N 83.7338904 W	feces	DSSonly_m7477	mouse gut metagenome	http://www.mobio.com/images/custom/file/protocol/12955.pdf	-80 C	male	Animal DSSonly_m7477 that received no antibiotics on day 47 of the model when they only received DSS (no AOM)	AMPLICON	PRJNA278126	MIMARKS.specimen	UNIVERSITY OF MICHIGAN	public	0	454 GS	PAIRED	PCR	METAGENOMIC	2015-03-13	LS454	SRP056144	LabDiet 5001	USA: Michigan: Ann Arbor	missing	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	missing
501	SAMN03406750	SRX955898	DSSonly-m7471-d26_S365_L001_R1_001.fastq.DSSonly_m7471_d26	7	4	mouse gut metagenome	2015-03-13	SRR1914521	SRS873671	DSSonly_m7471_d26	mouse gut	NoAbx	2013	26	feces	C57BL/6	Mus musculus	42.2820973 N 83.7338904 W	feces	DSSonly_m7471	mouse gut metagenome	http://www.mobio.com/images/custom/file/protocol/12955.pdf	-80 C	male	Animal DSSonly_m7471 that received no antibiotics on day 26 of the model when they only received DSS (no AOM)	AMPLICON	PRJNA278126	MIMARKS.specimen	UNIVERSITY OF MICHIGAN	public	0	454 GS	PAIRED	PCR	METAGENOMIC	2015-03-13	LS454	SRP056144	LabDiet 5001	USA: Michigan: Ann Arbor	missing	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	missing
501	SAMN03406863	SRX955914	DSSonly-m7481-d26_S379_L001_R1_001.fastq.DSSonly_m7481_d26	5	3	mouse gut metagenome	2015-03-13	SRR1914537	SRS873791	DSSonly_m7481_d26	mouse gut	NoAbx	2013	26	feces	C57BL/6	Mus musculus	42.2820973 N 83.7338904 W	feces	DSSonly_m7481	mouse gut metagenome	http://www.mobio.com/images/custom/file/protocol/12955.pdf	-80 C	male	Animal DSSonly_m7481 that received no antibiotics on day 26 of the model when they only received DSS (no AOM)	AMPLICON	PRJNA278126	MIMARKS.specimen	UNIVERSITY OF MICHIGAN	public	0	454 GS	PAIRED	PCR	METAGENOMIC	2015-03-13	LS454	SRP056144	LabDiet 5001	USA: Michigan: Ann Arbor	missing	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	missing
501	SAMN03407040	SRX955913	DSSonly-m7481-d25_S378_L001_R1_001.fastq.DSSonly_m7481_d25	5	3	mouse gut metagenome	2015-03-13	SRR1914536	SRS873792	DSSonly_m7481_d25	mouse gut	NoAbx	2013	25	feces	C57BL/6	Mus musculus	42.2820973 N 83.7338904 W	feces	DSSonly_m7481	mouse gut metagenome	http://www.mobio.com/images/custom/file/protocol/12955.pdf	-80 C	male	Animal DSSonly_m7481 that received no antibiotics on day 25 of the model when they only received DSS (no AOM)	AMPLICON	PRJNA278126	MIMARKS.specimen	UNIVERSITY OF MICHIGAN	public	0	454 GS	PAIRED	PCR	METAGENOMIC	2015-03-13	LS454	SRP056144	LabDiet 5001	USA: Michigan: Ann Arbor	missing	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	missing
501	SAMN03406868	SRX955920	DSSonly-m7481-d69_S382_L001_R1_001.fastq.DSSonly_m7481_d69	5	3	mouse gut metagenome	2015-03-13	SRR1914542	SRS873793	DSSonly_m7481_d69	mouse gut	NoAbx	2013	69	feces	C57BL/6	Mus musculus	42.2820973 N 83.7338904 W	feces	DSSonly_m7481	mouse gut metagenome	http://www.mobio.com/images/custom/file/protocol/12955.pdf	-80 C	male	Animal DSSonly_m7481 that received no antibiotics on day 69 of the model when they only received DSS (no AOM)	AMPLICON	PRJNA278126	MIMARKS.specimen	UNIVERSITY OF MICHIGAN	public	0	454 GS	PAIRED	PCR	METAGENOMIC	2015-03-13	LS454	SRP056144	LabDiet 5001	USA: Michigan: Ann Arbor	missing	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf	missing
