collection_date	genotype	Library_Name	response	DNR	TNBS	AOMDSS	DSS	IL10	study
SRR1914514	2013	C57BL/6	DSSonly_m7469	1	0	0	0	1	0	UMAA_DSS
SRR1914538	2013	C57BL/6	DSSonly_m7481	1	0	0	0	1	0	UMAA_DSS
SRR1914540	2013	C57BL/6	DSSonly_m7481	1	0	0	0	1	0	UMAA_DSS
SRR1914541	2013	C57BL/6	DSSonly_m7481	1	0	0	0	1	0	UMAA_DSS
SRR1914539	2013	C57BL/6	DSSonly_m7481	1	0	0	0	1	0	UMAA_DSS
SRR1914531	2013	C57BL/6	DSSonly_m7477	1	0	0	0	1	0	UMAA_DSS
SRR1914521	2013	C57BL/6	DSSonly_m7471	1	0	0	0	1	0	UMAA_DSS
SRR1914537	2013	C57BL/6	DSSonly_m7481	1	0	0	0	1	0	UMAA_DSS
SRR1914536	2013	C57BL/6	DSSonly_m7481	1	0	0	0	1	0	UMAA_DSS
SRR1914542	2013	C57BL/6	DSSonly_m7481	1	0	0	0	1	0	UMAA_DSS
SRR1914534	2013	C57BL/6	DSSonly_m7477	1	0	0	0	1	0	UMAA_DSS
SRR1914530	2013	C57BL/6	DSSonly_m7477	1	0	0	0	1	0	UMAA_DSS
SRR1914524	2013	C57BL/6	DSSonly_m7471	1	0	0	0	1	0	UMAA_DSS
SRR1914516	2013	C57BL/6	DSSonly_m7469	1	0	0	0	1	0	UMAA_DSS
SRR1914518	2013	C57BL/6	DSSonly_m7469	1	0	0	0	1	0	UMAA_DSS
SRR1914515	2013	C57BL/6	DSSonly_m7469	1	0	0	0	1	0	UMAA_DSS
SRR1914513	2013	C57BL/6	DSSonly_m7469	1	0	0	0	1	0	UMAA_DSS
SRR1914535	2013	C57BL/6	DSSonly_m7477	1	0	0	0	1	0	UMAA_DSS
SRR1914533	2013	C57BL/6	DSSonly_m7477	1	0	0	0	1	0	UMAA_DSS
SRR1914529	2013	C57BL/6	DSSonly_m7477	1	0	0	0	1	0	UMAA_DSS
SRR1914526	2013	C57BL/6	DSSonly_m7471	1	0	0	0	1	0	UMAA_DSS
SRR1914523	2013	C57BL/6	DSSonly_m7471	1	0	0	0	1	0	UMAA_DSS
SRR1914525	2013	C57BL/6	DSSonly_m7471	1	0	0	0	1	0	UMAA_DSS
SRR1914522	2013	C57BL/6	DSSonly_m7471	1	0	0	0	1	0	UMAA_DSS
SRR1914517	2013	C57BL/6	DSSonly_m7469	1	0	0	0	1	0	UMAA_DSS
SRR1914532	2013	C57BL/6	DSSonly_m7477	1	0	0	0	1	0	UMAA_DSS
SRR1914602	2013	C57BL/6	NoAbs_m7264	0	0	0	0	0	0	UMAA_DSS
SRR1914797	2013	C57BL/6	NoAbs_m6554	0	0	0	0	0	0	UMAA_DSS
SRR1914795	2013	C57BL/6	NoAbs_m6554	0	0	0	0	0	0	UMAA_DSS
SRR1914794	2013	C57BL/6	NoAbs_m6554	0	0	0	0	0	0	UMAA_DSS
SRR1914793	2013	C57BL/6	NoAbs_m6554	0	0	0	0	0	0	UMAA_DSS
SRR1914802	2013	C57BL/6	NoAbs_m6554	0	0	0	0	0	0	UMAA_DSS
SRR1914804	2013	C57BL/6	NoAbs_m6558	0	0	0	0	0	0	UMAA_DSS
SRR1914807	2013	C57BL/6	NoAbs_m6558	0	0	0	0	0	0	UMAA_DSS
SRR1914801	2013	C57BL/6	NoAbs_m6554	0	0	0	0	0	0	UMAA_DSS
SRR1914810	2013	C57BL/6	NoAbs_m6558	0	0	0	0	0	0	UMAA_DSS
SRR1914520	2013	C57BL/6	DSSonly_m7471	1	0	0	0	1	0	UMAA_DSS
SRR1914599	2013	C57BL/6	NoAbs_m7264	0	0	0	0	0	0	UMAA_DSS
SRR1914600	2013	C57BL/6	NoAbs_m7264	0	0	0	0	0	0	UMAA_DSS
SRR1914799	2013	C57BL/6	NoAbs_m6554	0	0	0	0	0	0	UMAA_DSS
SRR1914800	2013	C57BL/6	NoAbs_m6554	0	0	0	0	0	0	UMAA_DSS
SRR1914796	2013	C57BL/6	NoAbs_m6554	0	0	0	0	0	0	UMAA_DSS
