BioSample	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	Organism	Platform	ReleaseDate	SRA_Study
SAMEA54452668	ERX1869610	16	12	ERR1806583	ERS1510718	SWinter0516_501E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
SAMEA54453418	ERX1869611	14	11	ERR1806584	ERS1510719	SWinter0516_502E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
SAMEA54454168	ERX1869612	16	13	ERR1806585	ERS1510720	SWinter0516_503E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
SAMEA54454918	ERX1869613	13	10	ERR1806586	ERS1510721	SWinter0516_504E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
SAMEA54455668	ERX1869614	16	12	ERR1806587	ERS1510722	SWinter0516_505E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
SAMEA54456418	ERX1869615	20	16	ERR1806588	ERS1510723	SWinter0516_506E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
SAMEA54457168	ERX1869616	31	24	ERR1806589	ERS1510724	SWinter0516_511E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
SAMEA54457918	ERX1869617	26	20	ERR1806590	ERS1510725	SWinter0516_512E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
SAMEA54458668	ERX1869618	22	17	ERR1806591	ERS1510726	SWinter0516_513E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
SAMEA54459418	ERX1869619	17	13	ERR1806592	ERS1510727	SWinter0516_514E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
